Key,Source,Context,Changes,English,German

h7sb_lights_tip_title,desc,main,new,[FFD700]H7SB Lights[-] Mod,[FFD700]H7SB Lights[-] Mod
h7sb_lights_tip,desc,main,new,"The How 7Days Should Be [FFD700]Lights Mod[-] adds an progression based lighting system. Light sources from [FFD700]fires burn slowly down[-] and can be [FFD700]ignited again[-]. In addition, the Mod includes [FFD700]all electric lamps[-] available in Vanilla. In its basic version, the mod is [FFD700]100% vanilla-friendly[-] - thanks to the separate mod in the folder, improved textures can be unlocked. \n\nNew lighting system \nLight sources do not burn indefinitely \nTo ignite you need flint / lighter \nTorches can be lit directly from sources of fire \n\nTorch / flint / short burning time (disappears) \nCandle / animal fat / medium burning time \nPumpkin lantern / animal fat / medium burning time (disappears) \nFire bowl / coal / long burning time \nStorm lantern / gasoline / long burning time \n\n22 electric lamps that can be produced! \n(No flashlight because it breaks the progress curve) \n\nThe pumpkin lantern is not available.[-] \n\nThe mod was created by Eihwaz with the support of Telric. \n[FFD700]www.eihwaz.de[-]","Die How 7Days Should Be [FFD700]Lights Mod[-] fügt ein fortschritts basiertes Licht-System hinzu. Lichtquellen aus [FFD700]Feuer brennen[-] langsam [FFD700]aus[-] und können [FFD700]neu entzündet[-] werden. Außerdem beinhaltet die Mod [FFD700]alle[-] in Vanilla verfügbaren [FFD700]elektrischen Lampen[-]. In seiner Grundausführung ist die Mod [FFD700]100% vanillafreundlich[-] - durch die seperate Zusatz Mod im Ordner können verbesserte Texturen freigeschaltet werden. \n\nNeues Licht-System \nLichquellen brennen nicht unendlich \nZum entzünden benötigt man Feuersteine/Feuerzeug \nFackeln können direkt an Feuerquellen entzündet werden \n\nFackel / Feuerstein / kurze Brenndauer (verschwindet) \nKerze / Tierfett / mittlere Brenndauer \nKürbislaterne / Tierfett / mittlere Brenndauer (verschwindet) \nFeuerschale / Kohle / lange Brenndauer \nSturmlaterne / Benzin / lange Brenndauer \n\n22 herstellbare elektrische Lampen \n(Keine Taschenlampe, weil es die Fortschrittskurve kaputt macht) \n\nDie Kürbislaterne ist nicht verfügbar.[-] \n\nDie Mod wurde von Eihwaz mit Unterstützung von Telric erstellt. \n[FFD700]www.eihwaz.de[-]"
h7sb_lights_edit,description,main,new,This block was changed by [FFD700]H7SB Lights[-] Mod. Use the ignitable variant in the game!,Dieser Block wurde verändert durch die [FFD700]H7SB Lights[-] Mod. Verwende im Spiel die entzündbare Variante!

flint,items,light,new,Flint,Feuerstein
flintDesc,description,light,new,The flint is used to ignite flammable objects. \n\nCandles require additional animal fat. \nLanterns require additional animal fat. \nFire bowls require additional coal.,Der Feuerstein wird verwendet um entzündbare Gegenstände zu entflammen. \n\nKerzen benötigen zusätzlich Tierfett.\nLaternen benötigen zusätzlich Tierfett. \nFeuerschalen benötigen zusätzlich Kohle.
flintSteel,items,light,new,Lighter,Feuerzeug
flintSteelDesc,description,light,new,The lighter is used to quickly ignite flammable objects. \n\nCandles require additional animal fat. \nLanterns require additional animal fat. \nFire bowls require additional coal. \nStorm lantern require additional fuel.,Das Feuerzeug wird verwendet um schnell entzündbare Gegenstände zu entflammen. \n\nKerzen benötigen zusätzlich Tierfett.\nLaternen benötigen zusätzlich Tierfett. \nFeuerschalen benötigen zusätzlich Kohle. \nSturmlaternen benötigen zusätzlich Benzin.
meleeToolTorch,items,light,rework,Torch,Fackel
meleeToolTorchLitUp,items,light,new,Torch,Fackel
torchWallHolder,blocks,light,rework,Torch (burned out),Fackel (ausgebrannt)
